품목코드,품목명,평균수주단가,Column 4
,,,
1.#JE+00,가쓰오다시국물900ml,,
11501122,조미액-갈릭라이스3kg,,
11501131,조미유-쉐프솔루션베이스볶음밥(시즌),,
13D02330,(20년)아몬드&호두드레싱-N110g,697.17033774,
13D02332,(20년)레몬갈릭샐러드소스-N110g,643.65583456,
13D02334,(20년)키위저지방샐러드소스-N235g,1325.704,
13D02335,(20년)골드파인애플&골드키위저지방샐러드-N 235g,1399.9932024,
13D02336,(20년)참깨&흑임자드레싱-N220g,955.75553797,
13D02337,(20년)골드파인애플&골드키위저지방샐러드-N(이마트),1379.5504979,
13D02338,(20년)허니머스타드드레싱-N230g,1073.3030547,
13D02339,(20년)아몬드&호두드레싱-N225g,1163.1856459,
13D02340,(20년)레몬갈릭샐러드소스-N245g,930.05477707,
13D02341,(20년)클래식시저드레싱220g,1544.6710088,
13D02342,(20년)아몬드&호두드레싱-N495*2,4920.2751092,
13D02344,(20년)골드파인애플&골드키위저지방샐러드소스525,2895.1083591,
13D02345,(20년)참깨&흑임자드레싱-N495g,2010.1055635,
13D02346,(20년)허니머스타드드레싱-N510g,2210.0887918,
13D02347,(20년)아몬드&호두드레싱-N495g,2360.0994236,
13D02348,(20년)키위샐러드소스-N 520*2,5921.3589744,
13D02349,(20년)키위샐러드소스-N 520,2719.1061538,
13D02350,(20년)키위저지방드레싱115g,668,
13D02351,(20년)키위저지방드레싱235g,1323.1532779,
13D02356,(쿠팡)DELICIOUS오리엔탈드레싱,4840,
13D02365,(기획세트)발사믹올리브유드레싱235g,,
13D02366,(기획세트)(20년)참깨&흑임자드레싱-N220g,,
13D02367,(연결링)(20년)아몬드&호두드레싱-N495g*2ea,4920,
13D03020,시아스키위드레싱,3410.1034721,
13D03082,딸기드레싱,3179.4372858,
13D03085,포도씨유로만든키위드레싱540g,5951.3709677,
13D03086,포도씨유로만든파인애플드레싱545g,5776.1538462,
13D03087,포도씨유로만든파인요거트드레싱495g,5849.0526316,
13D03088,포도씨유로만든블루베리드레싱540g,4302.8571429,
13D03090,렌치드레싱485g,3075,
13D03091,참깨&아몬드드레싱495g,1955.5555556,
13D03094,챔키위드레싱240g,929.06735751,
13D03095,챔케이준드레싱250g,936.42361111,
13D03096,네네피자렌치드레싱,3487.1259843,
13D03097,챔케이준드레싱100g,490,
13D03106,홈스타일참깨드레싱,1830,
13D03109,에땅랜치소스1kg,4586.4434877,
13D03113,홈플러스시그니처참깨드레싱,548.73271889,
13D03114,딜리소스매콤참깨드레싱,0,
13D04018,사쿠사쿠머스타드소스30g,2485.9421374,
13D04104,키위드레싱골드,4783.3865841,
13D04105,요거트드레싱골드,5259.0270644,
13D04106,허니머스타드소스골드,3727.7004866,
13D04107,바른선허니머스타드소스2kg,6534.1424106,
13D04109,바른선요거트드레싱2kg,6321.5869312,
13D04125,카츠젠사우전아일랜드드레싱2kg,2600.9756098,
13D04126,홈스타일1000아일랜드드레싱,1830,
13D04133,홈플러스시그니처허니머스터드드레싱,548.85654886,
13D08030,시아스칠리소스2kg,4112.1296624,
13D08032,시아스칠리소스12g,45.781376147,
13D08040,칠리소스-엠피(1kg),2800.2078522,
13D08044,핫도그미트칠리소스-T,5389.5021038,
13D08055,멕시칸풍비프칠리소스,414.55307692,
13D16014,칠리핫소스,2021.1864407,
13D16015,기로스머스타드소스,2203.2894737,
13D19002,1/2플레인소스-현미유,,
13D19003,플레인소스-현미유,,
13D19004,플레인소스/현미유(중국산),,
13F99002,샘표안동찜닭양념3팩지함,2479.425,
13G01003,데리야끼소스-E,3332.5845448,
13G01005,매운데리야끼소스-R,2435.9489051,
13G01010,일식데리야끼소스,4309.0574497,
13G01015,일식데리야끼소스100g,408,
13G01021,마늘간장소스-R,2996.0227273,
13G01029,고베데리야끼소스,2348.1057898,
13G01036,데리야끼소스1.02kg(수출),3315,
13G02002,맘스스위트양념소스,2065.2173913,
13G02010,맘스터치오리진파닭소스,3152.9850746,
13G02013,칠리양념치킨소스,2503.7037037,
13G02028,매운후라이드양념소스-수출,3101.875,
13G02046,60계매운양념치킨소스,4513.0448558,
13G02051,자연드림양념치킨소스(320g),2640,
13G02056,60계옛날양념치킨소스,3081.565371,
13G02059,하송양념치킨소스,3650,
13G02060,깐풍기용소스,3797.8125,
13G02069,정성담은양념치킨소스(320g),2629.9268321,
13G02073,닭강정소스T,6200,
13G02078,dip양념치킨소스/하림,215,
13G02082,깐풍치킨버거용소스,2748.2233503,
13G02091,(닭강정)수원왕갈비맛소스,2886.25,
13G02093,양념치킨소스E,2450,
13G02094,옛날양념치킨소스,2375,
13G02103,시아스강정소스,3156.9364162,
13K01070,시아스고구마소스,2544.3531828,
13K01101,용돈까스소스M,1668.8188976,
13K01115,시아스핫칠리소스,4345.6229561,
13K01219,함박스테이크소스-H1kg,2173.4579439,
13K01244,원할머니기자미소스,2000.2024291,
13K01248,시아스핫립소스,3308.4782609,
13K01272,명인돈까스소스,2662.2201139,
13K01273,초대리-B 20kg,22190.713725,
13K01275,갈릭레몬소스,2943.7219731,
13K01276,로스트소스,2092.6829268,
13K01295,갈릭스테이크소스,7016.4325163,
13K01304,데미그라스소스-P,4282.5905081,
13K01310,일식돈까스소스,5793.8946673,
13K01312,서비스면양념장,3890.9090909,
13K01317,포타이땅콩소스,4220,
13K01318,포타이퍼싸오소스,6671.35,
13K01321,나가사키베이스,2193.837535,
13K01324,프렌치살몬소스30g,142.14285714,
13K01330,초밥액-W,1766.25,
13K01340,치즈밥용빨강소스-R,3446.051168,
13K01341,사이다,,
13K01362,바베큐폭찹소스,3633.7110482,
13K01366,디엔짬뽕소스,6050,
13K01370,오니언소스,0,
13K01410,레드와인소스1kg,24.615384615,
13K01413,치커리샐러드용소스,1942.0408163,
13K01423,쌈장소스235g,1244,
13K01424,고추장소스240g,1324.4444444,
13K01427,스윗갈릭소스,4633.6764706,
13K01435,타카마살라카레베이스190g,1296.6148592,
13K01439,허니머스타드소스-T,458.99453552,
13K01444,마크니커리소스,1192.7586207,
13K01451,선진매콤칠리소스,0,
13K01457,마왕갈릭족발용소스,3178.4859155,
13K01476,선진데미그라스소스15kg,0,
13K01488,베트남식쌀국수육수,541.81953396,
13K01489,우나기소스1.12kg(수출),3765,
13K01500,딜리소스갈릭스테이크,0,
13K01501,SIAS어니언크림소스(냉장보관후출고),3900,
13K02080,시아스살사소스,5303.1305033,
13K02090,스위트칠리소스-M,2657.7248322,
13K02119,파인애플칵테일베이스,3890.1408451,
13K02120,석류사과칵테일베이스,3883.5543767,
13K02151,레드번용소스,3400,
13K02161,할라피뇨살사소스,3140.1315789,
13K03101,크림소스,2848.989899,
13K03115,시아스찹스테이크소스1kg,3723.0519798,
13K03126,크라제바베큐소스-K290g,1250,
13K03128,크라제바베큐소스18kg,2265.2356021,
13K03131,빠네크림소스T,5286.9977305,
13K03132,어니언크림소스-S,3539.9908257,
13K03133,해물파스타용크림소스,3900,
13K03136,선진찹스테이크소스,0,
13K03138,빠네크림소스G,4241.6666667,
13K03141,선진어니언크림소스,0,
13K03150,양송이크림리조또용소스(100g),510,
13L00001,자연드림 상큼한 토마토케찹,14605.888422,
13L00005,토마토케찹18kg,12969.399462,
13L00006,자연드림 상큼한 토마토케찹595g,4253.5071542,
13L00007,토마토케찹2kg,1446.1593231,
13L00008,토마토케찹자사용,,
13L00010,토마토케찹153kg,891.76470588,
13L00014,싱싱한토마토로만든맛이진한토마토케첩600g,3226.1333333,
13L00015,네네토마토케첩153kg,871.1875,
13L00019,자연드림 상큼한 토마토케찹280g,2363.6700337,
13L00023,루솔유기농토마토케첩,1400,
13L00024,상큼한토마토케찹18kg,,
13L00026,상큼한토마토케찹(595g),4411,
13L00028,건강하게키운토마토로만든유기농토마토케첩,2081.8684211,
13L00029,정성담은토마토케찹(280g),2424.8482328,
13L00030,정성담은토마토케찹(595g),4443.4455645,
13L00038,정성담은토마토케찹595g (1),4466,
13L01001,이마트 야채케챱600g,1614.9096189,
13L01002,이마트 야채케챱295g,897.39277636,
13P01020,미스터피자살사소스엠피,4274.3866157,
