AreaId,Area,dateObs,TempAvg,TempMin,hhmiTempMin,TempMax,hhmiTempMax,hourRainfall,RainfallAmount,HumidAvg,SnowloadMax,hhmiSnowloadMax
108,서울,2020-09-10,22.8,18.8,623,27,1537,2.25,3.9,75.8,,
108,서울,2020-09-11,22.4,19.2,2357,27.1,1219,7.83,1.2,72.6,,
108,서울,2020-09-12,20.2,18.1,232,23.2,1541,18.58,5.7,83.8,,
108,서울,2020-09-13,21.5,16.7,618,26.6,1542,,,70.4,,
108,서울,2020-09-14,21.3,17.6,622,24.9,1236,0.42,0,79.3,,
108,서울,2020-09-15,23,18.9,627,27.7,1429,,,76.4,,
108,서울,2020-09-16,22.5,21.3,2327,24.9,1248,5.75,0.3,79.9,,
108,서울,2020-09-17,21.3,20.1,2333,23.6,1523,,,70.3,,
108,서울,2020-09-18,21.5,18.1,705,25.8,1444,,,62,,
108,서울,2020-09-19,21.2,17.6,2400,26.2,1436,1,0.3,59.3,,
108,서울,2020-09-20,19.7,15.6,630,24.9,1510,,,57.6,,
108,서울,2020-09-21,19.1,13.6,609,25.3,1449,,,56.1,,
108,서울,2020-09-22,20.2,15.5,618,25.6,1454,,,55.3,,
108,서울,2020-09-23,19.2,15.2,521,23.8,1359,,,59.9,,
108,서울,2020-09-24,20.6,16.8,606,25.4,1340,,,59.6,,
108,서울,2020-09-25,20.1,16.6,426,25.4,1433,,,64.1,,
108,서울,2020-09-26,19.3,14.8,537,24.8,1458,,,62.5,,
108,서울,2020-09-27,20.4,14.9,640,25.8,1340,,,63.3,,
108,서울,2020-09-28,20.7,15.7,528,26.5,1451,,,66,,
108,서울,2020-09-29,19.6,15.3,626,23.9,1623,,,67.6,,
108,서울,2020-09-30,19.6,16.2,647,25.7,1358,2.67,38.3,78,,
108,서울,2020-10-01,18.8,15.6,620,23.6,1445,,,74.9,,
108,서울,2020-10-02,19.2,16.3,353,21.9,1130,0.75,0,79.6,,
108,서울,2020-10-03,19.9,18.3,2338,23.2,1230,1.08,0,72.5,,
108,서울,2020-10-04,16.6,10.6,2350,21.8,1330,3.75,0,65.1,,
108,서울,2020-10-05,13.3,8.5,537,18.4,1555,,,57.3,,
108,서울,2020-10-06,14.2,9.3,627,19.7,1529,,,55.9,,
108,서울,2020-10-07,16,9.9,705,22,1558,,,48.9,,
108,서울,2020-10-08,17.2,12.1,621,23.1,1511,,,53,,
108,서울,2020-10-09,17.2,12.4,527,23.3,1508,,,53.4,,
108,서울,2020-10-10,16.9,12.3,543,21.5,1344,,,60.1,,
108,서울,2020-10-11,16.9,12.7,634,20.8,1155,,,68.5,,
108,서울,2020-10-12,16.2,12.1,2356,21.3,1411,,,68.6,,
108,서울,2020-10-13,13.6,8.6,627,18.4,1459,,,52.3,,
108,서울,2020-10-14,12.8,8.5,2400,18,1327,,,47,,
108,서울,2020-10-15,11.7,6.5,644,18.5,1433,,,41.8,,
108,서울,2020-10-16,11.8,8.6,615,15.4,1425,,,64.3,,
108,서울,2020-10-17,13.1,8.7,702,18.6,1508,,,64.3,,
108,서울,2020-10-18,13.6,7.2,630,20.2,1352,,,65.5,,
108,서울,2020-10-19,15.1,9.8,700,21.3,1440,,,74.4,,
108,서울,2020-10-20,15.2,9.9,647,21.7,1413,,,67.1,,
108,서울,2020-10-21,14.1,11.8,301,17.3,1529,,,69.4,,
108,서울,2020-10-22,13.5,8.4,2344,18.2,1451,1.25,0,66,,
108,서울,2020-10-23,8.6,5.4,713,13.3,1515,,,51.5,,
